                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4901,                 4.4171,                 4.1242,                0.00274,                 0.3592,                0.00842,                0.00197,                 3.6599,                 4.7316,                 4.1138,             0.00032911,             0.00032911,             0.00032911
                      2,                 3.1721,                  3.984,                 3.7142,                0.86609,                0.04242,                0.03152,                0.00909,                 3.3609,                  5.089,                  3.735,             0.00064933,             0.00064933,             0.00064933
                      3,                 2.8866,                 3.6684,                 3.3177,                0.53191,                0.04961,                0.02635,                0.00713,                 2.9643,                 5.3363,                 3.2661,             0.00095635,             0.00095635,             0.00095635
                      4,                 2.6635,                 3.5033,                 3.0702,                0.59655,                0.09973,                0.06539,                0.01884,                 2.7106,                 3.8755,                 3.0323,              0.0009406,              0.0009406,              0.0009406
                      5,                 2.4707,                 3.2223,                 2.8539,                0.07776,                0.22762,                0.07629,                0.02245,                 2.6296,                 4.7107,                 2.9035,              0.0009406,              0.0009406,              0.0009406
                      6,                 2.3169,                 3.0311,                 2.6924,                0.47943,                0.23473,                0.11763,                0.04085,                 2.3874,                 3.9087,                 2.7722,              0.0009208,              0.0009208,              0.0009208
                      7,                 2.1711,                 2.8609,                 2.5561,                0.57558,                 0.1307,                0.16909,                0.05522,                 2.2243,                 4.2421,                 2.5589,               0.000901,               0.000901,               0.000901
                      8,                 2.0565,                 2.7073,                 2.4496,                0.44741,                0.25316,                0.15509,                0.05492,                 2.3556,                 3.6438,                 2.6065,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.9883,                 2.5813,                 2.3872,                 0.3023,                0.36962,                0.26536,                0.11016,                 2.1868,                 2.9178,                 2.4903,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.9502,                 2.5043,                 2.3117,                0.27765,                0.42203,                0.28714,                0.12973,                 2.0082,                 2.8602,                 2.2812,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.9117,                 2.4027,                  2.283,                  0.549,                0.36646,                0.39865,                0.17515,                 2.0197,                 2.4303,                  2.311,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.8862,                 2.3434,                 2.2567,                0.44041,                 0.3429,                0.24203,                  0.098,                 2.2219,                 3.1322,                 2.5118,               0.000802,               0.000802,               0.000802
                     13,                  1.812,                 2.2449,                 2.1832,                0.49277,                0.40568,                0.37551,                0.15681,                 2.0359,                  2.487,                 2.3022,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.7801,                 2.2034,                 2.1523,                0.52423,                0.45468,                0.45128,                0.22286,                 1.8735,                 2.2253,                 2.1636,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.7688,                 2.1897,                 2.1257,                0.39321,                0.53279,                0.45965,                0.19451,                 1.9495,                 2.3501,                 2.1865,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.7867,                 2.1756,                 2.1358,                0.37276,                0.55803,                0.47905,                0.22308,                 1.8508,                 2.1923,                 2.0906,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.7044,                 2.0783,                 2.0573,                0.46594,                0.26078,                0.27471,                0.11957,                 2.2208,                 2.8941,                 2.4758,               0.000703,               0.000703,               0.000703
                     18,                 1.7023,                 2.0709,                 2.0616,                0.43604,                0.54246,                0.52433,                0.25303,                 1.8089,                 2.1566,                 2.0668,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.7169,                 2.0511,                 2.0739,                  0.435,                0.54783,                0.48484,                0.23909,                 1.8304,                 2.2048,                 2.0785,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.7099,                  2.016,                 2.0473,                0.64602,                0.47288,                0.52964,                0.26153,                 1.7864,                 2.0032,                 2.0463,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.6705,                 1.9565,                 2.0301,                0.50532,                0.49403,                0.49325,                0.23116,                 1.9103,                  2.201,                 2.1397,              0.0006238,              0.0006238,              0.0006238
